Navi_result_ 1,Navi_result_ 2,Navi_result_ 3,Navi_result_ 4,Navi_result_ 5,Navi_result_ 6,Navi_result_ 7,Navi_result_ 8,Navi_result_ 9,Navi_result_10,Navi_result_11,Navi_result_12,Navi_result_13,Navi_result_14,Navi_result_15,Navi_result_16,Navi_result_17,Navi_result_18,Navi_result_19
1,0.00300308125929028,-0.00102087598698367,-0.0296341469992913,-0.00940553900363739,-0.00345144395778799,-0.000429767396653347,0.318972431605326,1.07627700459903,-0.556632208130766,-1.12392499193716e-09,-3.74882948680491e-09,1.53722069252945e-11,5.84402935794858e-06,-1.98908845408564e-06,-5.77109644862211e-05,0,0,0
2,-0.00439579124412852,-0.00412805779320103,-0.0584651957494145,-0.027597588854178,-0.000542699975915671,-0.00910457713572832,0.490015906419785,0.953018866316442,-6.97390974130532,-1.37866178914998e-08,8.95602507375914e-09,5.93470751091518e-11,7.90283553163546e-06,-4.12122892578608e-06,-0.000228299374435741,0,0,0
3,0.000678200784534906,0.00671575537472172,-0.0393550932918438,-0.0551957962215965,9.76927225338688e-05,0.00297080815491668,0.447508845096367,0.959164836138204,-4.96911982276578,1.60070886568718e-08,7.80583038050935e-09,5.41841696399186e-10,8.91314144486049e-06,-4.98030217493637e-06,-0.000380934382017645,0,0,0
4,-0.0105960327298921,0.00477852088039293,-0.0724439752308011,-0.0736906501259682,0.0006594124626274,0.0181860899011514,0.457816837311491,0.931916610964029,-5.24726122913716,4.69895444886142e-08,8.72686619372397e-08,4.07564974402442e-10,1.35827735027835e-05,-9.43398256007878e-06,-0.000730119944106103,0,0,0
5,0.00115114386249442,0.00545217194215995,-0.074498681500036,-0.104934975396986,0.000589044700959803,0.0414304419459786,0.449752729018841,0.934036837803756,-4.08608082268225,9.54208899569109e-08,8.22524801994066e-08,1.04047890216312e-09,1.95119373580825e-05,-1.28955805258993e-05,-0.0011569881222883,0,0,0
6,-0.0222736042242751,0.00382244170123554,-0.121576330527535,-0.113504101861395,0.00273952658089296,0.0561673294569092,0.458315349555291,0.903437125891722,-5.20848280796515,1.39753528008269e-07,3.85682380753839e-07,-6.38906371324459e-10,3.14998042248741e-05,-2.09030845505274e-05,-0.00195819135123567,0,0,0
7,-0.0081201645114145,0.00585805300872882,-0.108686428194207,-0.130377204072829,0.00622187618314941,0.0862532591697045,0.45845134950498,0.88673013747585,-5.41906216245292,2.34136737523022e-07,5.33159863430555e-07,-1.79381644578447e-10,4.31419433479823e-05,-2.77998960936957e-05,-0.00276093787590366,0,0,0
8,0.00510775485081478,0.0162507674404098,-0.117805543034088,-0.15884355040896,0.000443082112453871,0.119255417351454,0.451750531225651,0.900497564306317,-4.63925179572377,5.81177878057696e-07,4.62936169069425e-07,6.2195600979072e-09,5.68529205595275e-05,-3.49889065126431e-05,-0.00371512358119709,0,0,0
9,0.00248999354214867,0.0104515550214689,-0.134221176068627,-0.185400377930023,0.00198421566372094,0.148993050043129,0.480399146320917,0.903892855945902,-3.89188305043923,8.45048506471802e-07,4.35560178703517e-07,1.03046505851533e-08,7.41304069937568e-05,-4.42525423222068e-05,-0.00488519104754382,0,0,0
10,-0.000846161526434741,0.0168204914259355,-0.157370315382547,-0.209643417633743,-0.0013184493199208,0.169000278472236,0.478648152899385,0.912591159326858,-3.53922255769084,1.37286137690535e-06,5.20108407141841e-07,1.81075629250397e-08,9.61724271231163e-05,-5.57103794199254e-05,-0.00633709865150096,0,0,0
11,-0.0167031702557718,0.0119329832189549,-0.172248277737055,-0.216443162273094,0.00356193081880688,0.175267085764247,0.486406909245304,0.899357840444703,-4.34020483935775,1.81611627415797e-06,1.16050545365712e-06,2.06218407339665e-08,0.000121849094411264,-6.83971707156756e-05,-0.00799411576644155,0,0,0
12,-0.00701319553966234,0.0243793369747993,-0.160835567130474,-0.231327337701259,-0.00132211637966251,0.183834648123359,0.488450042086723,0.903212351125029,-4.10215131712818,2.87136962011382e-06,1.57579581155603e-06,3.37171021369869e-08,0.000146593321607146,-8.08540247231028e-05,-0.0095859571564115,0,0,0
13,0.00179982039150058,0.0200643314287876,-0.138167276858302,-0.254295797347481,-0.000978339344347007,0.204954946711535,0.490898228709046,0.895503379807699,-4.40167923543531,3.93039656189485e-06,1.54346602146541e-06,5.19992329916643e-08,0.000168864741613966,-9.1371630295836e-05,-0.0109763490203079,0,0,0
14,-0.00379381791579199,0.0224231281945708,-0.173903467954372,-0.268890267619781,0.00010951447508452,0.202915728509738,0.487412856781426,0.883203097752912,-4.86754853689856,5.25674246820405e-06,1.82015959660619e-06,7.18112111333749e-08,0.000196451214279018,-0.000104580712887877,-0.012735533278688,0,0,0
15,0.00561420185338556,0.0247466618485005,-0.146097538379725,-0.289099472553289,0.00270213749104246,0.20907806156796,0.503870552476744,0.885829031489245,-5.14433714851243,6.95738547104603e-06,1.5345336964586e-06,1.02392584218256e-07,0.000219525504271839,-0.000116034828226669,-0.0142079246203438,0,0,0
16,0.00786279068738404,0.0346382662721651,-0.145319707956793,-0.310076235152223,-0.00204402197923734,0.213350561735845,0.50263446844308,0.887595701118982,-6.11107421699076,9.65065648110366e-06,9.64005008210293e-07,1.52993427607643e-07,0.000241449787866502,-0.000126829737941813,-0.0156545650863303,0,0,0
17,0.00330400930712305,0.0310332049145571,-0.145624287414393,-0.325649860997146,0.000913514051632362,0.209916475364675,0.504984778110001,0.888676495329043,-6.7513121381341,1.22881710626719e-05,7.39852747703161e-07,1.98211024712947e-07,0.000261309454140448,-0.000137559999505757,-0.0170761245721203,0,0,0
18,0.0296243791002334,0.0395842321917441,-0.112023416142023,-0.363583674399592,-0.00179620360001824,0.226025528991259,0.511305616439521,0.884556186278053,-6.58639858487307,1.62118522939422e-05,-1.67056744149078e-06,2.81613811946923e-07,0.000272795065505616,-0.000142280340427542,-0.0181427414276093,0,0,0
19,0.0171137130609177,0.0411792044004814,-0.146139090061711,-0.388579249801069,-0.00293703216756725,0.216618684583699,0.50878121828334,0.895519845484996,-6.45123732855307,2.06087652955519e-05,-3.02254755622785e-06,3.619430189078e-07,0.00028657300321527,-0.000150220441722748,-0.0194907979655603,0,0,0
20,0.0197295533985534,0.0452203486449743,-0.128458906564846,-0.415722440536115,-0.00310610429958469,0.220178158588982,0.556484046488268,0.876468689531622,-7.12193322523967,2.58638911393745e-05,-5.12954296031345e-06,4.6549731244013e-07,0.00029541352653637,-0.00015498358913835,-0.0206350841383162,0,0,0
21,0.00387885853159796,0.0528770976043558,-0.120715966053094,-0.425580154157501,-0.00648414686098656,0.224533913444204,0.534581683161265,0.910584319534479,-6.98962512210314,3.24782339556891e-05,-4.94954164307432e-06,5.65085017184688e-07,0.000297985250868344,-0.000163317060744447,-0.0216696770556614,0,0,0
22,0.0171869047445033,0.051856378756313,-0.134014292782113,-0.449274123312193,-0.00400257215095443,0.216089071281729,0.540076635345937,0.903430914647718,-6.77794955393676,3.97098879252434e-05,-6.46739177843748e-06,6.90299528665125e-07,0.000300343271704743,-0.00016868475777942,-0.0227708822286221,0,0,0
23,0.0201942157046523,0.0622550865787981,-0.117790241691168,-0.479198696723415,-0.00621119826008279,0.215175444341565,0.54234117669802,0.900082589085386,-5.36489610136505,4.9333540720586e-05,-7.26195259269443e-06,8.40044698813125e-07,0.000295305983731401,-0.000174080010734157,-0.0236974963770918,0,0,0
24,0.00913879150847664,0.0744142940533054,-0.116442795059515,-0.500694471739394,-0.0125099793081867,0.211505197474832,0.548911301024089,0.903717440343103,-5.19364860675558,6.12693103201147e-05,-7.39210663047514e-06,1.02539514328823e-06,0.000288898705389459,-0.000180906209752896,-0.0245724717023287,0,0,0
25,-0.00248141663674986,0.0750192983328558,-0.114984866064444,-0.511379565764969,-0.0130391077603616,0.202329583039324,0.552950031987402,0.896044059397664,-5.47152316165931,7.39691039892089e-05,-6.10898976355766e-06,1.21194122446065e-06,0.000284391013304473,-0.000189027036141948,-0.0253965484827615,0,0,0
26,-0.0048407157681465,0.0817158837226337,-0.132028138564792,-0.5163447629144,-0.0135639841507589,0.173257962781503,0.555493885598487,0.896029145862007,-5.71265105411516,8.87866736711418e-05,-4.17168834274512e-06,1.42537855432102e-06,0.000281227498385168,-0.000197775410218234,-0.0262975242329848,0,0,0
27,0.0216884073502219,0.0905472414282812,-0.090070047038591,-0.546663887149634,-0.0144267064148909,0.173938936601004,0.559243787597905,0.894960842937683,-4.86571238178182,0.000106989852784175,-5.10707488015789e-06,1.71296681075211e-06,0.000272315502044491,-0.000202190512153625,-0.0268837759623564,0,0,0
28,0.00757917385812248,0.100403652966034,-0.107195778759862,-0.56569745611057,-0.0168475796385061,0.159919548432318,0.562090929283307,0.891514165788021,-3.78299459292616,0.000128192815789022,-2.2211558117743e-06,2.00851236063554e-06,0.00026650236686529,-0.000210839748947271,-0.027547328801386,0,0,0
29,-0.00239408745001633,0.103002133021968,-0.113963185057284,-0.575281583522269,-0.0136431426477174,0.129141891583215,0.576591077052379,0.884964039570297,-4.2016997636454,0.000151013595500682,-5.40587061847617e-07,2.3525460223939e-06,0.000267868614846189,-0.00021566954264618,-0.0282182082072422,0,0,0
30,0.0169170542088295,0.11171063039864,-0.0705592033934956,-0.602626459837552,-0.0121019292639578,0.136814698052008,0.56203583140321,0.888860185301094,-2.94430239954354,0.00017770869084862,1.85595622806865e-06,2.73696786036602e-06,0.000269732691611379,-0.000222642004412231,-0.0286143011119362,0,0,0
31,0.00043866779712896,0.122605766420097,-0.0926932532033586,-0.613859063932409,-0.0141718588501355,0.118410389458471,0.571997665254237,0.888764415855086,-2.98422974817724,0.000208300028873898,4.56404483716529e-06,3.19062577403642e-06,0.00028277098774731,-0.00022583094654303,-0.0291087777792467,0,0,0
32,0.0209710342609175,0.128359936189132,-0.0676742865025719,-0.64420594375747,-0.0154500712850602,0.116828789832954,0.571680701843793,0.897779790847666,-1.79100159096381,0.000242448273862635,6.93931824641627e-06,3.69131161388121e-06,0.000303530671297358,-0.000233302494637614,-0.0294527586603034,0,0,0
33,0.000862972687271917,0.129924288119141,-0.0873841331265673,-0.656956317186541,-0.00890614559187436,0.0986271149182931,0.57295449412419,0.904233031758453,-1.60454871814079,0.000278425971240327,1.09019079044125e-05,4.21527895005738e-06,0.00033844233791126,-0.000234629048311002,-0.0298751165653213,0,0,0
34,-0.0112073336533912,0.149309409278289,-0.115378077374131,-0.658073105000767,-0.0108149274024715,0.0529232862189364,0.576945867130351,0.889602442098053,-2.03511690495733,0.000321692373963916,1.61074114520242e-05,4.84870184023862e-06,0.000393184760846103,-0.000230428632308582,-0.0304055438298449,0,0,0
35,0.00490367768992525,0.149754306818997,-0.072595118986179,-0.671034361516831,-0.00534868931884084,0.0370609962864883,0.58101483620155,0.881834512090338,-2.41532757113,0.00036760905469269,1.67123280562997e-05,5.56866249705977e-06,0.000455584949620414,-0.000229332025664937,-0.0307234427195171,0,0,0
36,-0.00246131589964687,0.163236066666416,-0.0776240012997267,-0.673110395837284,-0.0079531864365249,0.0128051286057929,0.571644438418047,0.885859156466385,-3.17824936738764,0.000419820386802398,1.73275343466458e-05,6.39286452818474e-06,0.00053043138069692,-0.00022466482692625,-0.0310473029663921,0,0,0
37,0.0136345597377487,0.165044515768151,-0.0559819337234316,-0.68819257415953,-0.0071671007478231,0.00953989409997824,0.562447462899683,0.87838538991201,-3.5429867429555,0.000475171237443145,1.50678004616183e-05,7.28920260838194e-06,0.000607037281157649,-0.000226947234168125,-0.0312699300076017,0,0,0
38,0.0257236336613752,0.163008339632364,-0.0699857050419395,-0.712124808657677,-0.00226325509119072,-0.0147813458709445,0.558649447073928,0.880886902967639,-3.65891323541349,0.000532276466260383,1.01811949113925e-05,8.235008147035e-06,0.000683317770227469,-0.000234618549979635,-0.0315355969060377,0,0,0
39,0.0349754170475723,0.170378270083982,-0.0425929965385094,-0.745553433006307,-0.00375925187463764,-0.0125762190121099,0.559192908570394,0.879917576963236,-2.68021191376084,0.000594230981210896,1.11453016861039e-05,9.17860966123054e-06,0.000759931452281139,-0.000243471391711212,-0.0316896977725991,0,0,0
40,0.0117454949191786,0.169498778723951,-0.0507945746894057,-0.756247980461922,0.00177191750878804,-0.0175542838911689,0.561051367020253,0.891084619239186,-3.01723421532947,0.000657625765036217,8.82287442808423e-06,1.02011280526239e-05,0.00083932073270095,-0.000245040423541253,-0.0318655323735651,0,0,0
41,0.00507233868037604,0.17245107677336,-0.074629957229221,-0.760527120959864,0.00925041732689807,-0.0439581397252367,0.558514609070181,0.888378962082864,-3.00142061947456,0.000723944818429124,1.23231519666779e-05,1.12041404181801e-05,0.00092197822762575,-0.000243329892700626,-0.032112904637062,0,0,0
42,0.0202087742709137,0.17364784530318,-0.0579174575160888,-0.779396498828078,0.0200142794174274,-0.0583124546292479,0.551725622076991,0.892637772996569,-2.70503707004097,0.000793155694029053,1.29955363612884e-05,1.22733530970878e-05,0.00100558491783497,-0.000246012436940693,-0.0322962132128253,0,0,0
43,0.0204951315047763,0.182201001000851,-0.0693515866751332,-0.797445774182393,0.0238934475483156,-0.0817737349874914,0.534369517259547,0.888354449899713,-2.83801523703686,0.000867951393181071,8.8788387850463e-06,1.34869386915119e-05,0.00109558441974052,-0.000251604109056904,-0.0325064393800726,0,0,0
44,0.0186513856310641,0.17755216936132,-0.0606400653555191,-0.812024308530113,0.0306315677428272,-0.0979741554925502,0.53578136877148,0.885159269709739,-2.41642217014827,0.000942563131115486,1.21456995229723e-05,1.46090718181172e-05,0.00118322321110582,-0.00025225009201443,-0.0326823152160066,0,0,0
45,0.00878545328321649,0.171061246505659,-0.0627484537674341,-0.812532709531411,0.041944385535741,-0.119286716725862,0.543433311633931,0.877559404423214,-2.93143069973946,0.00101614542770375,6.77052797851589e-06,1.58269654356031e-05,0.00126985082455845,-0.000256000364428337,-0.0328567173652808,0,0,0
46,0.0199415357635891,0.177309119057899,-0.0627730798683709,-0.820340301928013,0.0483283203701241,-0.145596630117435,0.547607569056553,0.863256507592015,-2.72035366770051,0.0010942077460528,6.83969221611629e-06,1.70379770763615e-05,0.00135835456698785,-0.000258146759028881,-0.0330239271345122,0,0,0
47,0.0244094823841736,0.180330561692838,-0.0492018084829136,-0.828947572856009,0.0535735873491758,-0.163170811967364,0.544414160997911,0.864108922233578,-2.87729688722396,0.00117539033328333,-6.85468083490069e-07,1.83832070673438e-05,0.00144727940584217,-0.000266057128956316,-0.0331490921718266,0,0,0
48,0.0297917712229099,0.181369846620093,-0.0573311343949886,-0.841034313424416,0.0590001460665292,-0.185728139835048,0.528080094267195,0.865715664438863,-2.83521677346515,0.00125857806156121,-7.70461586802612e-06,1.97457659363043e-05,0.0015352667489102,-0.000273276644988934,-0.0332894457094608,0,0,0
49,0.0451984887935969,0.17320588355966,-0.0324983280477314,-0.865673044287973,0.0710368561102269,-0.187092057189892,0.537007764077216,0.862892982976642,-2.96522580890373,0.00133981976234783,-2.52147855291103e-05,2.11846349653223e-05,0.00161701513330509,-0.000289486576455907,-0.0333648122172717,0,0,0
50,0.0378298085738882,0.182179851555208,-0.0370545852953397,-0.881617781146815,0.0740952375927232,-0.190384686384773,0.532714268742169,0.858553176409123,-2.77419357573829,0.0014261636646257,-3.3303119942165e-05,2.25948191813678e-05,0.00169954091396126,-0.000297430572581679,-0.0334478319362344,0,0,0
51,0.0303006289004519,0.175734394839403,-0.0620958792338435,-0.886410350943834,0.0801969698007088,-0.219366205789441,0.538146205355155,0.852872413234484,-3.29614070631848,0.00151006155136103,-5.19884843839265e-05,2.41009657803067e-05,0.00177726436261816,-0.000312604148773956,-0.0335831763805992,0,0,0
52,0.0487335143049659,0.17830218905027,-0.0418735152374061,-0.907045100660753,0.0814744925352467,-0.241631142769154,0.536469511421091,0.856062329670219,-2.95994864786706,0.00159694731454774,-6.24876386020491e-05,2.55290242978578e-05,0.00185069698664291,-0.000321771558210611,-0.0336701559755499,0,0,0
53,0.0405415211999695,0.168650309934863,-0.0339850013034033,-0.917256137284994,0.0907024101865275,-0.255350666925377,0.540843460109297,0.858361140018475,-3.30534032104427,0.00167922181774837,-8.40431107313815e-05,2.70260493708196e-05,0.0019158228856042,-0.0003378733921236,-0.0337376111538863,0,0,0
54,0.0471997351618094,0.173353549519955,-0.0323263892758969,-0.931221087697054,0.0959499085491836,-0.26555672588874,0.546656668637443,0.870488062902134,-3.10055139125758,0.00176493899593912,-9.67064495212239e-05,2.84565267521179e-05,0.00197768867687705,-0.000346348637005961,-0.0337993600125162,0,0,0
55,0.0711684803466922,0.172945082069105,0.00337424124322834,-0.967310768572816,0.102303919286138,-0.245111561115992,0.538575939274682,0.87137905141347,-3.12506243720685,0.00185139608971451,-0.000126256320347592,3.00673600112499e-05,0.00203437958451336,-0.000364720546645855,-0.0337904148904318,0,0,0
56,0.0393489173250875,0.170532880689159,-0.0366531719108136,-0.976731847529777,0.109875444897789,-0.260531957683044,0.53427276198919,0.87418201240091,-2.98602405530732,0.00193614559049649,-0.00013699331929752,3.14639127710153e-05,0.00208661703872054,-0.000369877606796177,-0.0338560852222739,0,0,0
57,0.0585210345072892,0.1816928341542,-0.0195621961461542,-1.00522578024709,0.108048463908782,-0.268083627521084,0.546850721788087,0.876058529514505,-3.11563984910995,0.00202675053315739,-0.000163166781823594,3.31092597003303e-05,0.00213805658458065,-0.000383902120089769,-0.0338887428840038,0,0,0
58,0.0576760694795212,0.183926268329348,-0.028316730590048,-1.03560970525507,0.104846743840201,-0.284996729069453,0.543505706197482,0.881207477342526,-3.20024437699497,0.00211846376028031,-0.000187954699641259,3.47532979496458e-05,0.00218593438129427,-0.000395249666890089,-0.0339354093115223,0,0,0
59,0.0136645509642764,0.174205200867833,-0.0479322226518918,-1.02656209203644,0.111890507313156,-0.317251677252961,0.542898442729008,0.882394038651178,-3.4238743682314,0.00220375460274364,-0.000195289800210642,3.61506344621249e-05,0.00222569614611316,-0.000399136411913326,-0.0340133135661098,0,0,0
60,0.0425802193428507,0.175910788397381,-0.00889607489885435,-1.0443125829056,0.118473798277566,-0.318134536878867,0.537829173384228,0.877518999620531,-3.58922457957764,0.00229064785720306,-0.000215111074171431,3.76786535419168e-05,0.0022594970219747,-0.00040667564259924,-0.0340253712983055,0,0,0
61,0.0237235691872506,0.173486632125889,-0.0572379861691613,-1.04444422723304,0.128405164517881,-0.360516674307601,0.537131648662907,0.874409795768998,-3.66496430098349,0.0023756146271447,-0.000223901654352906,3.90712662435776e-05,0.00228727913555222,-0.00040859094471271,-0.0341128061653636,0,0,0
62,0.041670524662855,0.180172997241124,-0.0376266594904395,-1.05831443960369,0.133726329948988,-0.388684364571684,0.53976124215905,0.866976212771433,-3.98827968026351,0.00246340811311753,-0.00024833759634215,4.066992913197e-05,0.00230846451538361,-0.000417783051680262,-0.0341674967165257,0,0,0
63,0.0394293238237391,0.173573296515949,-0.0316370071735587,-1.06438388854713,0.144531346343814,-0.411325030373312,0.526784657780922,0.867691345896449,-4.39187854281707,0.00254714761764267,-0.00027442683136569,4.22284501134172e-05,0.00232043150984329,-0.000426722159042161,-0.0342116104111624,0,0,0
64,0.0464585598952726,0.178037439370169,-0.04316146959664,-1.07553451086062,0.149688984729316,-0.440243273345494,0.531660840817502,0.874826142853166,-4.41089820133308,0.00263370690057441,-0.000291961953818421,4.37117699101391e-05,0.00232337385375063,-0.000426989925116444,-0.0342708517020893,0,0,0
65,0.0430575114750149,0.179410184170339,-0.0398029467922143,-1.08075963014187,0.152714908414291,-0.467501628386529,0.536781502746688,0.877005545610112,-4.73390606248165,0.00271920807244709,-0.000317423511450637,4.52816921913897e-05,0.00231611725536616,-0.000432152621937897,-0.0343235770859279,0,0,0
66,0.0110985503823731,0.168505527424386,-0.059303536043355,-1.05191406842664,0.167656127391565,-0.510540722646258,0.540954396505303,0.890110734574619,-5.10484851128789,0.00279763705976448,-0.000330210713327157,4.6641662385231e-05,0.00229997964821308,-0.000438920571027206,-0.0344007502873815,0,0,0
67,0.0592370059128693,0.181549849485559,-0.0327239649065009,-1.07032392165252,0.171739445528225,-0.535404778060239,0.550300342090156,0.884080234615929,-5.00430100423499,0.00288446929608004,-0.000349470483421385,4.81262343841602e-05,0.00227025023845524,-0.000429752902901674,-0.0344411869359654,0,0,0
68,0.0629119123858119,0.184508619198025,-0.00969877851334627,-1.09495301184381,0.175271546478119,-0.541372668408268,0.538315243266569,0.882906215401474,-4.89329230408633,0.00297198685584179,-0.000369524453550985,4.9625447398577e-05,0.00222922952346488,-0.000416734452582878,-0.0344514380653624,0,0,0
69,0.0220667387221162,0.183520382518704,-0.0338860119295694,-1.08114546115701,0.18052496814998,-0.566137625202134,0.519994336903787,0.887534365281295,-4.8504835300663,0.00305674646573044,-0.000373115329091984,5.09548847223315e-05,0.0021812480119512,-0.000413304836861444,-0.0344910150963955,0,0,0
70,0.0454848280595838,0.187352783808889,-0.0436797698327909,-1.09373776339794,0.181806805765306,-0.60125092271052,0.519285763982524,0.886161585385022,-4.41525987257704,0.00314464915295084,-0.000372005289991668,5.22345342313707e-05,0.00212536380534659,-0.000395663175298638,-0.0345412331443379,0,0,0
71,0.0598714682260965,0.177178465487513,-0.0153363499572611,-1.12208387605506,0.187785628652933,-0.615098602666338,0.516193079251197,0.877858267212269,-3.95912223125157,0.00322739655490097,-0.000376641009252117,5.34795363874411e-05,0.00206824025300752,-0.000373646641995562,-0.0345570604576847,0,0,0
72,0.0199082441294165,0.17059277945923,-0.0493324679431946,-1.11196508807154,0.194710982217162,-0.656118339127958,0.525552869614625,0.885231199769303,-3.96941113221766,0.00330319873924922,-0.000381210796312456,5.46933235607507e-05,0.00201443649951042,-0.000371369393079895,-0.0346104055642875,0,0,0
73,0.0417841977655229,0.169326061357932,-0.0110306564373755,-1.12412689665575,0.199115038517012,-0.666288655669396,0.523393925752706,0.880411523489546,-3.68925647241554,0.0033792976300852,-0.000383591891237989,5.58445205237191e-05,0.00196031668678638,-0.000357701157233126,-0.034620216125348,0,0,0
74,0.0421133801289424,0.162216543346632,-0.0254269858170827,-1.13726890944577,0.20745005853069,-0.68678248385021,0.524973362523911,0.870963321389295,-3.53964267684796,0.00345077567376664,-0.000391320986479751,5.69903290832232e-05,0.00191042999423434,-0.000346439350939906,-0.0346449476893922,0,0,0
75,0.0184967244513926,0.164297559816347,-0.0328161403185344,-1.12539856486649,0.214027872462617,-0.709135242084089,0.510843725542792,0.868702636560075,-3.50616479717976,0.00352111799415564,-0.000392863087817838,5.8091246269755e-05,0.00186314808801086,-0.000343730061914561,-0.0346764627186943,0,0,0
76,0.0466748491965641,0.162293734773524,-0.0245625281005487,-1.14147230701178,0.220012078154212,-0.723851413963999,0.50613129005975,0.86476310084824,-2.97170849784308,0.00359248523289789,-0.000385345058393642,5.90391171658845e-05,0.00181918801462894,-0.000326415216596683,-0.0346987580142866,0,0,0
77,0.0477612140577485,0.161863879865554,-0.0274501026678773,-1.16001936235932,0.223943990696846,-0.743865189768129,0.510205649014335,0.855860380890655,-2.72550235214438,0.00366141337875805,-0.000390188992703539,6.01027929600814e-05,0.00178059530322666,-0.000314520000609551,-0.0347230828136881,0,0,0
78,0.0411420211197004,0.159628851131978,-0.016922850858241,-1.17093871674001,0.227770762538006,-0.756187696908875,0.500710420292205,0.86131379481096,-2.43690090490644,0.00372842172879608,-0.000390331363742067,6.10922958372779e-05,0.00174916403856743,-0.000304124968994588,-0.0347364368325747,0,0,0
