Navi_result_ 1,Navi_result_ 2,Navi_result_ 3,Navi_result_ 4,Navi_result_ 5,Navi_result_ 6,Navi_result_ 7,Navi_result_ 8,Navi_result_ 9,Navi_result_10,Navi_result_11,Navi_result_12,Navi_result_13,Navi_result_14,Navi_result_15,Navi_result_16,Navi_result_17,Navi_result_18,Navi_result_19
1,0.00300308125929028,-0.00102087598698367,-0.0296341469992913,-0.00940553900363739,-0.00345144395778799,-0.000429767396653347,0.318972431605326,1.07627700459903,-0.556632208130766,-1.12392499193716e-09,-3.74882948680491e-09,1.53722069252945e-11,5.84402935794858e-06,-1.98908845408564e-06,-5.77109644862211e-05,0,0,0
2,-0.00439579124412852,-0.00412805779320103,-0.0584651957494145,-0.027597588854178,-0.000542699975915671,-0.00910457713572832,0.490015906419785,0.953018866316442,-6.97390974130532,-1.37866178914998e-08,8.95602507375914e-09,5.93470751091518e-11,7.90283553163546e-06,-4.12122892578608e-06,-0.000228299374435741,0,0,0
3,0.000678200784534906,0.00671575537472126,-0.0393550932918438,-0.0551957962215965,9.76927225338688e-05,0.00297080815491668,0.447508845096365,0.959164836138204,-4.96911982276582,1.60070886568704e-08,7.80583038050926e-09,5.41841696399155e-10,8.91314144486049e-06,-4.98030217493637e-06,-0.000380934382017645,0,0,0
4,-0.0105960327298921,0.00477852088039389,-0.072443975230801,-0.0736906501259682,0.0006594124626274,0.0181860899011514,0.457816837311491,0.931916610964028,-5.24726122913716,4.69895444885928e-08,8.72686619372386e-08,4.07564974402103e-10,1.35827735027838e-05,-9.43398256007879e-06,-0.000730119944106103,0,0,0
5,0.00115114386249462,0.00545217194214591,-0.0744986815000359,-0.104934975396986,0.000589044700959803,0.0414304419459786,0.44975272901884,0.934036837803755,-4.08608082268275,9.5420889956901e-08,8.22524801994051e-08,1.04047890216248e-09,1.95119373580831e-05,-1.28955805258993e-05,-0.0011569881222883,0,0,0
6,-0.0222736042242749,0.0038224417012354,-0.121576330527536,-0.113504101861395,0.00273952658089296,0.0561673294569092,0.458315349555303,0.903437125891722,-5.20848280796604,1.39753528008159e-07,3.85682380753827e-07,-6.38906371325611e-10,3.14998042248749e-05,-2.09030845505276e-05,-0.00195819135123567,0,0,0
7,-0.00812016451141397,0.00585805300872136,-0.108686428194207,-0.130377204072829,0.00622187618314941,0.0862532591697036,0.458451349504975,0.886730137475847,-5.41906216245434,2.34136737522964e-07,5.33159863430532e-07,-1.79381644579982e-10,4.31419433479833e-05,-2.77998960936963e-05,-0.00276093787590367,0,0,0
8,0.00510775485081565,0.016250767440395,-0.117805543034088,-0.15884355040896,0.000443082112453871,0.119255417351453,0.451750531225627,0.900497564306313,-4.63925179572534,5.81177878057202e-07,4.62936169069361e-07,6.21956009790145e-09,5.68529205595288e-05,-3.49889065126433e-05,-0.00371512358119709,0,0,0
9,0.00248999354214946,0.0104515550214689,-0.134221176068628,-0.185400377930023,0.00198421566372094,0.148993050043128,0.480399146320882,0.903892855945898,-3.89188305044038,8.45048506470939e-07,4.35560178703407e-07,1.03046505851443e-08,7.41304069937573e-05,-4.42525423222072e-05,-0.00488519104754383,0,0,0
10,-0.000846161526433804,0.0168204914259537,-0.157370315382547,-0.209643417633743,-0.0013184493199208,0.169000278472237,0.478648152899354,0.912591159326854,-3.53922255769183,1.37286137690458e-06,5.20108407141733e-07,1.81075629250301e-08,9.61724271231155e-05,-5.5710379419926e-05,-0.00633709865150097,0,0,0
11,-0.0167031702557711,0.0119329832189927,-0.172248277737055,-0.216443162273094,0.00356193081880688,0.175267085764248,0.486406909245294,0.899357840444701,-4.3402048393584,1.81611627415738e-06,1.1605054536571e-06,2.06218407339682e-08,0.000121849094411263,-6.83971707156775e-05,-0.00799411576644156,0,0,0
12,-0.00701319553966182,0.0243793369748062,-0.160835567130474,-0.231327337701259,-0.00132211637966251,0.183834648123359,0.488450042086694,0.903212351125027,-4.10215131712812,2.87136962011379e-06,1.57579581155616e-06,3.37171021369938e-08,0.000146593321607144,-8.08540247231048e-05,-0.00958595715641151,0,0,0
13,0.00179982039150096,0.0200643314288017,-0.138167276858302,-0.254295797347481,-0.000978339344347007,0.204954946711536,0.490898228708995,0.895503379807695,-4.40167923543594,3.93039656189646e-06,1.54346602146555e-06,5.19992329916793e-08,0.000168864741613964,-9.13716302958381e-05,-0.0109763490203079,0,0,0
14,-0.00379381791579161,0.0224231281945348,-0.173903467954372,-0.268890267619781,0.00010951447508452,0.202915728509739,0.487412856781361,0.883203097752908,-4.86754853689874,5.25674246820498e-06,1.82015959660636e-06,7.18112111333973e-08,0.000196451214279016,-0.000104580712887879,-0.012735533278688,0,0,0
15,0.00561420185338488,0.0247466618484509,-0.146097538379725,-0.289099472553289,0.00270213749104246,0.209078061567961,0.503870552476704,0.885829031489242,-5.14433714851161,6.95738547104569e-06,1.5345336964587e-06,1.02392584218261e-07,0.000219525504271838,-0.000116034828226672,-0.0142079246203438,0,0,0
16,0.00786279068738156,0.0346382662720718,-0.145319707956793,-0.310076235152223,-0.00204402197923734,0.213350561735845,0.502634468443041,0.88759570111898,-6.1110742169893,9.65065648109915e-06,9.64005008210984e-07,1.52993427607585e-07,0.000241449787866506,-0.000126829737941816,-0.0156545650863303,0,0,0
17,0.0033040093071197,0.0310332049145512,-0.145624287414393,-0.325649860997146,0.000913514051632362,0.209916475364675,0.504984778109995,0.888676495329045,-6.7513121381321,1.22881710626626e-05,7.39852747704153e-07,1.98211024712808e-07,0.00026130945414046,-0.00013755999950576,-0.0170761245721203,0,0,0
18,0.0296243791002302,0.0395842321917356,-0.112023416142023,-0.363583674399592,-0.00179620360001824,0.226025528991258,0.511305616439506,0.884556186278053,-6.58639858487164,1.62118522939321e-05,-1.67056744148958e-06,2.81613811946762e-07,0.000272795065505633,-0.00014228034042755,-0.0181427414276093,0,0,0
19,0.0171137130609143,0.041179204400398,-0.146139090061711,-0.388579249801069,-0.00293703216756725,0.216618684583701,0.508781218283308,0.895519845484994,-6.45123732855168,2.06087652955411e-05,-3.02254755622639e-06,3.61943018907627e-07,0.000286573003215297,-0.000150220441722759,-0.0194907979655603,0,0,0
20,0.0197295533985446,0.0452203486449192,-0.128458906564846,-0.415722440536115,-0.00310610429958469,0.220178158588983,0.556484046488241,0.876468689531621,-7.12193322523493,2.5863891139353e-05,-5.1295429603106e-06,4.65497312439775e-07,0.000295413526536424,-0.000154983589138368,-0.0206350841383162,0,0,0
21,0.00387885853158947,0.0528770976042826,-0.120715966053094,-0.425580154157501,-0.00648414686098656,0.224533913444206,0.534581683161241,0.910584319534478,-6.98962512209879,3.24782339556573e-05,-4.9495416430712e-06,5.65085017184231e-07,0.000297985250868436,-0.000163317060744464,-0.0216696770556614,0,0,0
22,0.0171869047444961,0.0518563787562757,-0.134014292782114,-0.449274123312193,-0.00400257215095443,0.216089071281732,0.540076635345948,0.90343091464772,-6.77794955393199,3.97098879252038e-05,-6.46739177843375e-06,6.90299528664601e-07,0.000300343271704872,-0.000168684757779443,-0.0227708822286221,0,0,0
23,0.0201942157046443,0.062255086578831,-0.117790241691168,-0.479198696723415,-0.00621119826008279,0.215175444341567,0.542341176698044,0.900082589085391,-5.36489610136059,4.93335407205398e-05,-7.26195259269047e-06,8.40044698812534e-07,0.000295305983731574,-0.000174080010734186,-0.0236974963770918,0,0,0
24,0.0091387915084685,0.0744142940533598,-0.116442795059515,-0.500694471739394,-0.0125099793081867,0.211505197474835,0.548911301024096,0.903717440343107,-5.19364860675158,6.12693103200727e-05,-7.39210663046993e-06,1.0253951432877e-06,0.000288898705389675,-0.000180906209752927,-0.0245724717023287,0,0,0
25,-0.00248141663675776,0.0750192983329728,-0.114984866064443,-0.511379565764969,-0.0130391077603616,0.202329583039327,0.552950031987395,0.896044059397666,-5.47152316165556,7.3969103989174e-05,-6.10898976355064e-06,1.21194122446029e-06,0.000284391013304719,-0.000189027036141977,-0.0253965484827615,0,0,0
26,-0.00484071576815483,0.0817158837226919,-0.132028138564792,-0.5163447629144,-0.0135639841507589,0.173257962781505,0.555493885598474,0.896029145862009,-5.71265105411159,8.87866736711188e-05,-4.17168834273531e-06,1.4253785543209e-06,0.000281227498385446,-0.000197775410218258,-0.0262975242329848,0,0,0
27,0.0216884073502128,0.0905472414283462,-0.0900700470385907,-0.546663887149634,-0.0144267064148909,0.173938936601005,0.559243787597885,0.894960842937685,-4.86571238177866,0.000106989852784163,-5.10707488014629e-06,1.71296681075222e-06,0.00027231550204482,-0.000202190512153656,-0.0268837759623565,0,0,0
28,0.00757917385811174,0.100403652966104,-0.107195778759862,-0.56569745611057,-0.0168475796385061,0.159919548432319,0.562090929283281,0.891514165788022,-3.78299459292276,0.000128192815789018,-2.22115581175965e-06,2.00851236063581e-06,0.000266502366865676,-0.000210839748947297,-0.027547328801386,0,0,0
29,-0.00239408745002717,0.103002133021987,-0.113963185057284,-0.575281583522269,-0.0136431426477174,0.129141891583217,0.576591077052356,0.884964039570298,-4.20169976364229,0.000151013595500691,-5.40587061830975e-07,2.35254602239433e-06,0.000267868614846635,-0.000215669542646202,-0.0282182082072422,0,0,0
30,0.0169170542088183,0.11171063039866,-0.070559203393496,-0.602626459837552,-0.0121019292639578,0.136814698052009,0.562035831403186,0.888860185301095,-2.94430239954045,0.00017770869084863,1.85595622808721e-06,2.73696786036653e-06,0.000269732691611895,-0.000222642004412247,-0.0286143011119362,0,0,0
31,0.000438667797117563,0.122605766420111,-0.0926932532033588,-0.613859063932409,-0.0141718588501355,0.118410389458472,0.571997665254213,0.888764415855086,-2.98422974817429,0.000208300028873912,4.56404483718546e-06,3.19062577403697e-06,0.0002827709877479,-0.000225830946543039,-0.0291087777792467,0,0,0
32,0.0209710342609057,0.128359936189141,-0.0676742865025722,-0.64420594375747,-0.0154500712850602,0.116828789832955,0.571680701843769,0.897779790847666,-1.79100159096094,0.00024244827386265,6.93931824643818e-06,3.69131161388177e-06,0.000303530671298023,-0.000233302494637615,-0.0294527586603034,0,0,0
33,0.000862972687259808,0.129924288119145,-0.0873841331265674,-0.656956317186541,-0.00890614559187436,0.098627114918294,0.572954494124166,0.904233031758455,-1.6045487181381,0.000278425971240343,1.09019079044358e-05,4.21527895005794e-06,0.000338442337911997,-0.000234629048310994,-0.0298751165653213,0,0,0
34,-0.0112073336534037,0.149309409278289,-0.115378077374132,-0.658073105000767,-0.0108149274024715,0.0529232862189373,0.576945867130326,0.889602442098054,-2.03511690495483,0.000321692373963932,1.61074114520485e-05,4.84870184023918e-06,0.000393184760846917,-0.000230428632308564,-0.0304055438298449,0,0,0
35,0.0049036776899127,0.149754306818994,-0.072595118986179,-0.671034361516831,-0.00534868931884084,0.0370609962864892,0.581014836201525,0.881834512090337,-2.4153275711277,0.000367609054692705,1.67123280563246e-05,5.56866249706031e-06,0.000455584949621299,-0.000229332025664918,-0.0307234427195171,0,0,0
36,-0.00246131589965937,0.16323606666641,-0.0776240012997268,-0.673110395837284,-0.0079531864365249,0.0128051286057937,0.571644438418023,0.885859156466384,-3.17824936738552,0.000419820386802411,1.73275343466712e-05,6.39286452818524e-06,0.000530431380697874,-0.000224664826926233,-0.0310473029663921,0,0,0
37,0.0136345597377362,0.165044515768141,-0.0559819337234315,-0.68819257415953,-0.0071671007478231,0.00953989409997913,0.562447462899659,0.878385389912008,-3.54298674295355,0.000475171237443154,1.50678004616441e-05,7.28920260838239e-06,0.000607037281158664,-0.000226947234168112,-0.0312699300076017,0,0,0
38,0.0257236336613628,0.163008339632352,-0.0699857050419395,-0.712124808657677,-0.00226325509119072,-0.0147813458709436,0.558649447073905,0.880886902967637,-3.65891323541169,0.000532276466260388,1.01811949114185e-05,8.23500814703538e-06,0.000683317770228535,-0.000234618549979626,-0.0315355969060377,0,0,0
39,0.0349754170475602,0.170378270083968,-0.0425929965385094,-0.745553433006307,-0.00375925187463764,-0.012576219012109,0.559192908570372,0.879917576963234,-2.68021191375926,0.000594230981210895,1.11453016861292e-05,9.17860966123084e-06,0.00075993145228225,-0.000243471391711191,-0.0316896977725991,0,0,0
40,0.0117454949191668,0.169498778723935,-0.050794574689406,-0.756247980461922,0.00177191750878804,-0.017554283891168,0.561051367020233,0.891084619239183,-3.01723421532807,0.00065762576503621,8.82287442810913e-06,1.02011280526241e-05,0.000839320732702096,-0.000245040423541235,-0.0318655323735651,0,0,0
41,0.0050723386803646,0.172451076773342,-0.0746299572292211,-0.760527120959864,0.00925041732689807,-0.0439581397252358,0.55851460907016,0.888378962082862,-3.00142061947338,0.00072394481842911,1.23231519667015e-05,1.12041404181802e-05,0.00092197822762692,-0.000243329892700606,-0.032112904637062,0,0,0
42,0.0202087742709027,0.173647845303161,-0.0579174575160886,-0.779396498828078,0.0200142794174274,-0.0583124546292471,0.55172562207697,0.892637772996567,-2.70503707004002,0.000793155694029031,1.29955363613102e-05,1.22733530970878e-05,0.00100558491783615,-0.000246012436940667,-0.0322962132128253,0,0,0
43,0.0204951315047657,0.182201001000831,-0.0693515866751332,-0.797445774182393,0.0238934475483156,-0.0817737349874887,0.534369517259527,0.888354449899711,-2.83801523703613,0.00086795139318104,8.87883878506611e-06,1.34869386915118e-05,0.00109558441974171,-0.000251604109056881,-0.0325064393800726,0,0,0
44,0.0186513856310542,0.177552169361299,-0.0606400653555192,-0.812024308530113,0.0306315677428272,-0.0979741554925484,0.535781368771462,0.885159269709738,-2.41642217014779,0.000942563131115446,1.2145699522989e-05,1.4609071818117e-05,0.001183223211107,-0.000252250092014398,-0.0326823152160066,0,0,0
45,0.00878545328320698,0.171061246505638,-0.0627484537674342,-0.812532709531411,0.041944385535741,-0.119286716725861,0.543433311633914,0.877559404423211,-2.93143069973916,0.0010161454277037,6.77052797853054e-06,1.58269654356027e-05,0.00126985082455961,-0.000256000364428316,-0.0328567173652808,0,0,0
46,0.0199415357635801,0.177309119057877,-0.0627730798683706,-0.820340301928013,0.0483283203701241,-0.145596630117433,0.547607569056537,0.863256507592013,-2.72035366770043,0.00109420774605274,6.83969221612758e-06,1.7037977076361e-05,0.00135835456698898,-0.000258146759028856,-0.0330239271345122,0,0,0
47,0.0244094823841651,0.180330561692815,-0.0492018084829134,-0.828947572856009,0.0535735873491758,-0.163170811967362,0.544414160997896,0.864108922233576,-2.87729688722406,0.00117539033328326,-6.85468083481708e-07,1.83832070673432e-05,0.00144727940584325,-0.000266057128956292,-0.0331490921718265,0,0,0
48,0.0297917712229019,0.181369846620071,-0.0573311343949882,-0.841034313424416,0.0590001460665292,-0.185728139835044,0.528080094267182,0.865715664438862,-2.83521677346544,0.00125857806156113,-7.70461586802131e-06,1.97457659363036e-05,0.00153526674891123,-0.000273276644988907,-0.0332894457094608,0,0,0
49,0.0451984887935894,0.173205883559638,-0.032498328047731,-0.865673044287973,0.0710368561102269,-0.187092057189889,0.537007764077203,0.862892982976641,-2.96522580890415,0.00133981976234774,-2.52147855291081e-05,2.11846349653214e-05,0.00161701513330605,-0.000289486576455872,-0.0333648122172717,0,0,0
50,0.0378298085738813,0.182179851555186,-0.0370545852953396,-0.881617781146815,0.0740952375927232,-0.190384686384771,0.532714268742157,0.858553176409122,-2.7741935757389,0.0014261636646256,-3.33031199421671e-05,2.25948191813668e-05,0.00169954091396215,-0.000297430572581634,-0.0334478319362344,0,0,0
51,0.0303006289004455,0.175734394839381,-0.0620958792338433,-0.886410350943834,0.0801969698007088,-0.219366205789439,0.538146205355143,0.852872413234483,-3.29614070631921,0.00151006155136092,-5.19884843839316e-05,2.41009657803056e-05,0.00177726436261897,-0.000312604148773912,-0.0335831763805992,0,0,0
52,0.04873351430496,0.178302189050249,-0.0418735152374061,-0.907045100660753,0.0814744925352467,-0.241631142769152,0.53646951142108,0.856062329670218,-2.95994864786796,0.00159694731454762,-6.24876386020584e-05,2.55290242978565e-05,0.00185069698664362,-0.000321771558210548,-0.0336701559755499,0,0,0
53,0.040541521199964,0.168650309934843,-0.0339850013034035,-0.917256137284994,0.0907024101865275,-0.255350666925375,0.540843460109287,0.858361140018475,-3.30534032104525,0.00167922181774824,-8.40431107313935e-05,2.70260493708182e-05,0.00191582288560481,-0.000337873392123527,-0.0337376111538863,0,0,0
54,0.0471997351618043,0.173353549519935,-0.0323263892758971,-0.931221087697054,0.0959499085491836,-0.265556725888739,0.546656668637434,0.870488062902135,-3.1005513912587,0.00176493899593897,-9.67064495212396e-05,2.84565267521164e-05,0.00197768867687756,-0.000346348637005867,-0.0337993600125162,0,0,0
55,0.0711684803466875,0.172945082069086,0.00337424124322836,-0.967310768572816,0.102303919286138,-0.245111561115992,0.538575939274675,0.871379051413471,-3.12506243720802,0.00185139608971435,-0.00012625632034761,3.00673600112483e-05,0.00203437958451375,-0.000364720546645724,-0.0337904148904318,0,0,0
56,0.0393489173250834,0.170532880689141,-0.0366531719108134,-0.976731847529777,0.109875444897789,-0.260531957683043,0.534272761989185,0.874182012400911,-2.98602405530859,0.00193614559049632,-0.000136993319297541,3.14639127710135e-05,0.00208661703872081,-0.000369877606796028,-0.033856085222274,0,0,0
57,0.0585210345072856,0.181692834154182,-0.0195621961461537,-1.00522578024709,0.108048463908782,-0.268083627521083,0.546850721788082,0.876058529514506,-3.11563984911128,0.00202675053315722,-0.000163166781823618,3.31092597003285e-05,0.00213805658458079,-0.00038390212008959,-0.0338887428840038,0,0,0
58,0.0576760694795181,0.183926268329331,-0.0283167305900477,-1.03560970525507,0.104846743840201,-0.284996729069452,0.543505706197478,0.881207477342529,-3.20024437699635,0.00211846376028013,-0.000187954699641286,3.47532979496439e-05,0.00218593438129427,-0.00039524966688988,-0.0339354093115224,0,0,0
59,0.0136645509642739,0.174205200867818,-0.0479322226518913,-1.02656209203644,0.111890507313156,-0.31725167725296,0.542898442729006,0.882394038651181,-3.42387436823288,0.00220375460274345,-0.000195289800210673,3.61506344621228e-05,0.00222569614611303,-0.000399136411913118,-0.0340133135661098,0,0,0
60,0.0425802193428487,0.175910788397366,-0.00889607489885369,-1.0443125829056,0.118473798277566,-0.318134536878867,0.537829173384226,0.877518999620535,-3.58922457957917,0.00229064785720286,-0.000215111074171465,3.76786535419147e-05,0.00225949702197443,-0.000406675642599009,-0.0340253712983055,0,0,0
61,0.0237235691872491,0.173486632125875,-0.0572379861691606,-1.04444422723304,0.128405164517881,-0.3605166743076,0.537131648662907,0.874409795769003,-3.66496430098509,0.0023756146271445,-0.000223901654352943,3.90712662435754e-05,0.00228727913555182,-0.000408590944712469,-0.0341128061653636,0,0,0
62,0.041670524662854,0.180172997241111,-0.0376266594904387,-1.05831443960369,0.133726329948988,-0.388684364571684,0.539761242159051,0.866976212771438,-3.98827968026511,0.00246340811311732,-0.000248337596342189,4.06699291319677e-05,0.00230846451538307,-0.000417783051679999,-0.0341674967165257,0,0,0
63,0.0394293238237385,0.173573296515937,-0.0316370071735582,-1.06438388854713,0.144531346343814,-0.411325030373312,0.526784657780924,0.867691345896454,-4.39187854281865,0.00254714761764245,-0.00027442683136573,4.22284501134148e-05,0.00232043150984261,-0.000426722159041875,-0.0342116104111624,0,0,0
64,0.0464585598952723,0.178037439370159,-0.0431614695966398,-1.07553451086062,0.149688984729316,-0.440243273345494,0.531660840817505,0.874826142853172,-4.41089820133464,0.00263370690057419,-0.000291961953818462,4.37117699101366e-05,0.00232337385374982,-0.000426989925116129,-0.0342708517020894,0,0,0
65,0.0430575114750149,0.17941018417033,-0.0398029467922141,-1.08075963014187,0.152714908414291,-0.467501628386528,0.536781502746692,0.877005545610118,-4.73390606248316,0.00271920807244687,-0.000317423511450679,4.52816921913871e-05,0.0023161172553652,-0.000432152621937555,-0.0343235770859279,0,0,0
66,0.0110985503823737,0.168505527424378,-0.0593035360433547,-1.05191406842664,0.167656127391565,-0.510540722646257,0.540954396505308,0.890110734574626,-5.10484851128939,0.00279763705976425,-0.0003302107133272,4.66416623852284e-05,0.002299979648212,-0.00043892057102686,-0.0344007502873816,0,0,0
67,0.0592370059128701,0.181549849485552,-0.0327239649065009,-1.07032392165252,0.171739445528225,-0.535404778060238,0.55030034209016,0.884080234615937,-5.00430100423642,0.00288446929607981,-0.000349470483421427,4.81262343841576e-05,0.00227025023845402,-0.00042975290290129,-0.0344411869359654,0,0,0
68,0.0629119123858128,0.184508619198019,-0.00969877851334641,-1.09495301184381,0.175271546478119,-0.541372668408267,0.538315243266575,0.882906215401483,-4.89329230408768,0.00297198685584156,-0.000369524453551025,4.96254473985743e-05,0.00222922952346353,-0.000416734452582454,-0.0344514380653624,0,0,0
69,0.0220667387221174,0.1835203825187,-0.033886011929569,-1.08114546115701,0.18052496814998,-0.566137625202132,0.519994336903794,0.887534365281304,-4.85048353006761,0.0030567464657302,-0.000373115329092024,5.09548847223288e-05,0.00218124801194972,-0.000413304836861011,-0.0344910150963955,0,0,0
70,0.045484828059585,0.187352783808885,-0.0436797698327904,-1.09373776339794,0.181806805765306,-0.601250922710517,0.519285763982531,0.886161585385031,-4.4152598725783,0.00314464915295061,-0.000372005289991707,5.22345342313679e-05,0.00212536380534498,-0.000395663175298185,-0.0345412331443379,0,0,0
71,0.0598714682260977,0.17717846548751,-0.0153363499572607,-1.12208387605506,0.187785628652933,-0.615098602666335,0.516193079251205,0.877858267212278,-3.95912223125274,0.00322739655490074,-0.000376641009252152,5.34795363874382e-05,0.0020682402530058,-0.000373646641995079,-0.0345570604576847,0,0,0
72,0.0199082441294179,0.170592779459229,-0.049332467943194,-1.11196508807154,0.194710982217162,-0.656118339127956,0.525552869614634,0.885231199769313,-3.96941113221876,0.00330319873924898,-0.00038121079631249,5.46933235607479e-05,0.0020144364995086,-0.000371369393079404,-0.0346104055642875,0,0,0
73,0.0417841977655243,0.169326061357932,-0.0110306564373745,-1.12412689665575,0.199115038517012,-0.666288655669396,0.523393925752714,0.880411523489556,-3.68925647241654,0.00337929763008497,-0.000383591891238018,5.58445205237162e-05,0.00196031668678447,-0.000357701157232619,-0.034620216125348,0,0,0
74,0.0421133801289439,0.162216543346632,-0.0254269858170816,-1.13726890944577,0.20745005853069,-0.68678248385021,0.524973362523919,0.870963321389305,-3.53964267684885,0.0034507756737664,-0.000391320986479776,5.69903290832203e-05,0.00191042999423234,-0.000346439350939382,-0.0346449476893922,0,0,0
75,0.0184967244513943,0.164297559816348,-0.0328161403185332,-1.12539856486649,0.214027872462617,-0.709135242084089,0.510843725542801,0.868702636560086,-3.50616479718056,0.0035211179941554,-0.00039286308781786,5.8091246269752e-05,0.00186314808800878,-0.000343730061914031,-0.0346764627186944,0,0,0
76,0.0466748491965658,0.162293734773526,-0.0245625281005474,-1.14147230701178,0.220012078154212,-0.723851413963999,0.50613129005976,0.86476310084825,-2.97170849784377,0.00359248523289765,-0.000385345058393658,5.90391171658815e-05,0.00181918801462679,-0.000326415216596143,-0.0346987580142867,0,0,0
77,0.0477612140577502,0.161863879865556,-0.0274501026678761,-1.16001936235932,0.223943990696846,-0.743865189768129,0.510205649014345,0.855860380890666,-2.72550235214494,0.00366141337875782,-0.000390188992703548,6.01027929600784e-05,0.00178059530322444,-0.000314520000608998,-0.0347230828136881,0,0,0
78,0.0411420211197021,0.159628851131981,-0.0169228508582398,-1.17093871674001,0.227770762538006,-0.756187696908874,0.500710420292215,0.86131379481097,-2.43690090490686,0.00372842172879585,-0.00039033136374207,6.10922958372748e-05,0.00174916403856516,-0.000304124968994027,-0.0347364368325748,0,0,0
