Navi_result_ 1,Navi_result_ 2,Navi_result_ 3,Navi_result_ 4,Navi_result_ 5,Navi_result_ 6,Navi_result_ 7,Navi_result_ 8,Navi_result_ 9,Navi_result_10,Navi_result_11,Navi_result_12,Navi_result_13,Navi_result_14,Navi_result_15,Navi_result_16,Navi_result_17,Navi_result_18,Navi_result_19
1,0.00300308125707636,-0.00102087598666503,-0.0296341469977962,-0.00940553900363739,-0.00345144395778799,-0.000429767396610714,0.318972431377235,1.07627700533626,-0.556632208036735,-1.12392499165485e-09,-3.74882948445652e-09,1.53722069075166e-11,5.84402935447687e-06,-1.98908845359105e-06,-5.77109644832213e-05,0,0,0
2,-0.00439579130121105,-0.0041280577747797,-0.0584651957476265,-0.027597588854178,-0.000542699975915671,-0.00910457713671686,0.490015906825893,0.95301886822748,-6.97390974676851,-1.37866178371927e-08,8.95602524309847e-09,5.93470749517207e-11,7.90283552345649e-06,-4.12122892499367e-06,-0.000228299374427026,0,0,0
3,0.000678200669823562,0.00671575542296611,-0.0393550932897339,-0.0551957954542104,9.76927225338688e-05,0.00297080815304795,0.447508845807161,0.959164836854071,-4.9691198422035,1.60070889466757e-08,7.80583111766318e-09,5.41841698424824e-10,8.91314142245047e-06,-4.98030220034239e-06,-0.000380934382000209,0,0,0
4,-0.0105960328433591,0.00477852093422651,-0.0724439752290475,-0.0736906493585821,0.0006594124626274,0.0181860898987614,0.457816837396504,0.931916611733258,-5.24726125356911,4.69895451258224e-08,8.72686635236625e-08,4.07564975689538e-10,1.35827734676133e-05,-9.43398261014281e-06,-0.000730119944081244,0,0,0
5,0.00115114368820931,0.00545217194693931,-0.0744986814985423,-0.1049349746296,0.000589044700959803,0.0414304419431462,0.449752728367477,0.934036838374387,-4.08608086489488,9.54208906338639e-08,8.22524835253256e-08,1.04047889102834e-09,1.95119373136941e-05,-1.28955805963329e-05,-0.0011569881222546,0,0,0
6,-0.0222736044238363,0.00382244162973235,-0.121576330526552,-0.113504101477702,0.00273952658089296,0.0561673294541416,0.458315348712079,0.90343712648743,-5.20848285423352,1.39753527451479e-07,3.85682386716096e-07,-6.38906431723743e-10,3.14998041787823e-05,-2.09030846700905e-05,-0.0019581913511996,0,0,0
7,-0.00812016481129711,0.00585805293672265,-0.108686428193538,-0.130377203305443,0.00622187618314941,0.0862532591670044,0.458451349393184,0.886730140106683,-5.41906223696794,2.34136735764301e-07,5.33159874311825e-07,-1.79381754745516e-10,4.3141943288846e-05,-2.77998962471272e-05,-0.00276093787586506,0,0,0
8,0.00510775442525889,0.0162507673328698,-0.11780554303359,-0.15884355040896,0.000443082112453871,0.119255417348739,0.451750530293142,0.900497564871094,-4.63925190559343,5.81177874128266e-07,4.62936188661962e-07,6.21955988980856e-09,5.68529204510971e-05,-3.49889066852787e-05,-0.00371512358115488,0,0,0
9,0.00248999317699709,0.010451554860518,-0.134221176068022,-0.185400377930023,0.00198421566372094,0.148993050040525,0.480399144806872,0.903892856972115,-3.89188319639512,8.4504849849241e-07,4.3556020687726e-07,1.0304650259666e-08,7.41304068359519e-05,-4.42525425013055e-05,-0.00488519104749731,0,0,0
10,-0.000846161818299725,0.0168204912032627,-0.157370315382188,-0.209643418401129,-0.00131845062865018,0.169000278469721,0.47864815150815,0.912591159613473,-3.53922273235616,1.37286136206552e-06,5.20108443424477e-07,1.81075624417062e-08,9.61724268440141e-05,-5.57103796131535e-05,-0.00633709865145355,0,0,0
11,-0.0167031705648472,0.0119329830014984,-0.172248277736827,-0.216443163807867,0.00356192558388933,0.175267085762071,0.486406908750912,0.89935784022969,-4.34020502593911,1.81611624983623e-06,1.16050550114994e-06,2.0621840010642e-08,0.000121849094018204,-6.83971710544826e-05,-0.00799411576639716,0,0,0
12,-0.00701319529980721,0.0243793367257952,-0.160835567130404,-0.231327338852338,-0.00132212030585067,0.183834648121318,0.488450042239184,0.903212346298405,-4.10215153537551,2.87136958660393e-06,1.57579584673799e-06,3.37171014371001e-08,0.000146593320937455,-8.0854025156704e-05,-0.00958595715636809,0,0,0
13,0.00179982123637849,0.0200643311434993,-0.13816727685811,-0.254295798882254,-0.000978341961805781,0.204954946709551,0.490898228062109,0.895503375115593,-4.4016794443568,3.93039651624636e-06,1.54346601482481e-06,5.19992324524024e-08,0.000168864740676489,-9.13716307464603e-05,-0.0109763490202623,0,0,0
14,-0.0037938167252208,0.0224231278547827,-0.17390346795396,-0.268890268387167,0.000109511857625746,0.202915728507754,0.48741285614312,0.883203094461777,-4.86754872617232,5.25674240541744e-06,1.82015952354805e-06,7.18112108701248e-08,0.000196451213022768,-0.000104580713435609,-0.0127355332786369,0,0,0
15,0.00561420316985371,0.0247466614020196,-0.146097538379353,-0.289099473704368,0.00270213749104246,0.209078061565823,0.503870551466622,0.885829028947307,-5.14433733542002,6.95738538455621e-06,1.53453353750855e-06,1.02392584313595e-07,0.000219525502654358,-0.000116034828714677,-0.0142079246202909,0,0,0
16,0.00786279206659064,0.0346382657008182,-0.145319707956656,-0.31007623591961,-0.00204402197923734,0.213350561733516,0.502634467570116,0.887595698781444,-6.11107439285151,9.65065635456559e-06,9.64004751516658e-07,1.5299342782954e-07,0.000241449785753713,-0.000126829738287287,-0.0156545650862807,0,0,0
17,0.00330401081756998,0.0310332043739744,-0.145624287414287,-0.32564986022976,0.000913512742902975,0.209916475362265,0.504984778848605,0.888676492204367,-6.75131229450535,1.22881708955719e-05,7.39852372361182e-07,1.98211025233175e-07,0.000261309451645815,-0.000137559999703281,-0.0170761245720735,0,0,0
18,0.0296243808163998,0.0395842316783685,-0.112023416141579,-0.363583674015899,-0.00179620360001824,0.22602552898863,0.511305616494947,0.884556182976615,-6.58639873381413,1.62118520996775e-05,-1.67056796838072e-06,2.81613813217227e-07,0.000272795062531891,-0.000142280340085635,-0.0181427414275736,0,0,0
19,0.0171137150106176,0.0411792038634295,-0.146139090061423,-0.388579250184762,-0.00293703216756725,0.21661868458077,0.508781218129383,0.895519841532039,-6.4512374600827,2.06087650689136e-05,-3.02254826987962e-06,3.61943021122702e-07,0.000286572999834965,-0.000150220440910292,-0.0194907979655334,0,0,0
20,0.0197295555439315,0.0452203481167999,-0.128458906564513,-0.415722440919808,-0.00310610429958469,0.220178158585766,0.556484046092406,0.876468686524359,-7.12193328542814,2.5863890871948e-05,-5.12954387167815e-06,4.65497315304807e-07,0.000295413522811066,-0.000154983587732699,-0.0206350841383001,0,0,0
21,0.00387886075824161,0.0528770970600167,-0.120715966052564,-0.425580154157501,-0.00648414555225718,0.224533913440966,0.53458168326012,0.910584316067706,-6.98962514190705,3.24782336531053e-05,-4.949542793875e-06,5.65085021221772e-07,0.000297985246923417,-0.000163317058839993,-0.0216696770556457,0,0,0
22,0.0171869070054064,0.0518563782790259,-0.134014292781801,-0.4492741229285,-0.00400256953349566,0.216089071278353,0.540076635412862,0.903430911065484,-6.77794953073917,3.97098876013185e-05,-6.46739318760521e-06,6.90299534201354e-07,0.000300343267764336,-0.0001686847553033,-0.0227708822286104,0,0,0
23,0.0201942179911614,0.0622550862392187,-0.117790241690904,-0.479198697490801,-0.00621119564262402,0.215175444338158,0.542341177158395,0.900082588039188,-5.36489606133759,4.93335404293418e-05,-7.26195430389341e-06,8.40044707079263e-07,0.000295305980004444,-0.000174080007816463,-0.0236974963770798,0,0,0
24,0.00913879365316547,0.0744142937653069,-0.116442795059291,-0.500694474425245,-0.0125099766907279,0.211505197471261,0.54891130080447,0.90371743835459,-5.19364854795241,6.12693100253081e-05,-7.39210863370348e-06,1.02539515348345e-06,0.00028889870236166,-0.000180906206357108,-0.0245724717023059,0,0,0
25,-0.00248141464605468,0.07501929806138,-0.114984866064078,-0.511379565764969,-0.0130391051429028,0.202329583035707,0.552950032254187,0.896044057928353,-5.47152304554292,7.39691036735546e-05,-6.10899200695467e-06,1.21194123560573e-06,0.000284391011359667,-0.000189027032270134,-0.0253965484827182,0,0,0
26,-0.004840714056875,0.0817158835251729,-0.132028138564277,-0.516344761379628,-0.0135639815333002,0.173257962777812,0.555493885613819,0.896029145488362,-5.71265088952139,8.87866733397471e-05,-4.17169079354599e-06,1.42537856614509e-06,0.000281227498091346,-0.00019777540586873,-0.0262975242329108,0,0,0
27,0.0216884089534222,0.090547241222113,-0.0900700470382625,-0.546663885231169,-0.0144267037974322,0.173938936597215,0.559243787112192,0.894960841168621,-4.86571216938658,0.000106989852491695,-5.10707751939098e-06,1.71296682380373e-06,0.000272315504132859,-0.000202190508026479,-0.0268837759622412,0,0,0
28,0.00757917517331246,0.10040365274013,-0.107195778759761,-0.565697455343184,-0.0168475770210473,0.159919548428446,0.562090929236088,0.891514164871446,-3.78299434462036,0.000128192815532752,-2.2211586110505e-06,2.00851237459477e-06,0.000266502372271501,-0.00021083974468132,-0.0275473288012148,0,0,0
29,-0.00239408612139227,0.103002132846848,-0.113963185056969,-0.575281583522269,-0.0136431400302587,0.129141891579307,0.576591077639635,0.884964036250235,-4.20169946780132,0.000151013595210015,-5.40590005836704e-07,2.35254603595808e-06,0.000267868624508278,-0.000215669538013062,-0.028218208207001,0,0,0
30,0.0169170558249573,0.111710630288535,-0.0705592033933902,-0.602626456768007,-0.012101926646499,0.136814698047903,0.562035831392135,0.888860180901884,-2.94430207870465,0.000177708690637288,1.85595302095707e-06,2.73696787651381e-06,0.000269732706637948,-0.000222642000012007,-0.0286143011116074,0,0,0
31,0.000438669740213522,0.122605766293536,-0.0926932532028891,-0.613859061246558,-0.0141718575414061,0.118410389454366,0.571997665484596,0.88876441002409,-2.98422939714652,0.000208300028670878,4.56404127452849e-06,3.19062579246136e-06,0.000282771009643966,-0.000225830941857911,-0.0291087777788067,0,0,0
32,0.0209710366860338,0.12835993601225,-0.0676742865026254,-0.644205941071618,-0.0154500686676014,0.116828789828609,0.571680700788468,0.897779785098709,-1.79100122816259,0.000242448273744969,6.93931413138251e-06,3.69131163774416e-06,0.000303530701247404,-0.000233302490631764,-0.0294527586597323,0,0,0
33,0.000862975304914089,0.129924287900825,-0.0873841331268897,-0.656956312582224,-0.00890614035695682,0.0986271149137794,0.572954493868163,0.904233027690574,-1.60454832502088,0.000278425971135026,1.09019032003645e-05,4.21527897836521e-06,0.000338442376885112,-0.000234629044369235,-0.0298751165646064,0,0,0
34,-0.0112073310047301,0.149309408985558,-0.115378077374678,-0.658073098861678,-0.010814922167554,0.052923286214229,0.576945866495103,0.889602438724079,-2.0351164772724,0.00032169237380194,1.61074061373452e-05,4.84870187179834e-06,0.00039318481112917,-0.000230428628031449,-0.0304055438289517,0,0,0
35,0.00490368014143054,0.149754306531707,-0.0725951189867408,-0.671034358063594,-0.00534868931884084,0.0370609962817356,0.581014836401145,0.881834509443237,-2.41532709285293,0.000367609054460938,1.67123222386795e-05,5.56866253036852e-06,0.000455585012272709,-0.000229332022431399,-0.0307234427184222,0,0,0
36,-0.00246131373613916,0.163236066531308,-0.0776240012998718,-0.67311039161666,-0.0079531864365249,0.0128051286009887,0.571644439459882,0.885859154296116,-3.17824884161306,0.000419820386502538,1.73275280766813e-05,6.39286456262644e-06,0.000530431458032756,-0.000224664824391652,-0.0310473029650602,0,0,0
37,0.0136345617026495,0.165044515672096,-0.0559819337235391,-0.68819256917152,-0.0071671007478231,0.00953989409499112,0.56244746309558,0.87838538677474,-3.54298617840982,0.000475171237112621,1.50677937589504e-05,7.28920264436013e-06,0.000607037374579587,-0.000226947233355558,-0.031269930006006,0,0,0
38,0.0257236354784428,0.163008339690144,-0.0699857050417761,-0.71212480405336,-0.00226325509119072,-0.0147813458760284,0.558649447642504,0.880886901217554,-3.65891263653833,0.000532276465966298,1.01811877707982e-05,8.2350081857421e-06,0.000683317880856594,-0.000234618551767465,-0.0315355969041558,0,0,0
39,0.0349754186155498,0.170378270307147,-0.0425929965381259,-0.74555342955307,-0.00375925187463764,-0.012576219017105,0.559192909367517,0.879917574594998,-2.68021128671906,0.000594230981110369,1.11452941624956e-05,9.17860970445097e-06,0.000759931582174965,-0.000243471395267777,-0.0316896977704059,0,0,0
40,0.0117454962824235,0.169498779002929,-0.0507945746889528,-0.756247978927149,0.00177191750878804,-0.0175542838964171,0.561051366709486,0.891084616239185,-3.01723355833614,0.000657625765018917,8.82286656810062e-06,1.0201128098218e-05,0.000839320882864551,-0.00024504042846148,-0.0318655323710457,0,0,0
41,0.00507233981751978,0.172451076993936,-0.0746299572289609,-0.760527117506626,0.00925041732689807,-0.0439581397307336,0.558514609923988,0.888378959738494,-3.00141993341324,0.000723944818510876,1.232314379948e-05,1.12041404660878e-05,0.000921978399409864,-0.000243329897388641,-0.032112904634207,0,0,0
42,0.0202087754211003,0.173647845688044,-0.0579174575154019,-0.779396494607454,0.0200142794174274,-0.0583124546346063,0.551725624013789,0.892637768559027,-2.70503635543011,0.000793155694288513,1.29955278774997e-05,1.22733531486169e-05,0.00100558511261826,-0.000246012442623964,-0.0322962132096051,0,0,0
